Unnamed: 0,Location,Population,% of world,Date,Source (official or from the United Nations),Notes
100,Sierra Leone,8884032,,1 Jul 2024,National annual projection[105],
101,Togo,8095498,,8 Nov 2022,2022 census result[106],
102,Laos,7546000,,1 Jul 2023,National annual projection[107],
,Hong Kong (China),7531800,,30 Jun 2024,National estimate[108],
103,Libya,7381023,,1 Jul 2024,UN projection[109],
104,Kyrgyzstan,7161900,,1 Jan 2024,Monthly national estimate[110],
105,Turkmenistan,7057841,,17 Dec 2022,2022 census result[111],
106,Nicaragua,6803886,,30 Jun 2023,Official estimate[112],
107,Serbia,6605168,,1 Jan 2024,Official estimate[113],[r]
108,Central African Republic,6470307,,1 Jul 2024,National annual projection[114],
109,Bulgaria,6445481,,31 Dec 2023,Official annual estimate[115],
110,El Salvador,6351000,,30 Jun 2024,National annual projection[116],
111,Republic of the Congo,6142180,,17 May 2023,2023 census result[117],
112,Paraguay,6109644,,10 Nov 2022,Preliminary census result[118],
113,Singapore,6036900,,30 Jun 2024,Official estimate[119],
114,Denmark,5989985,,1 Oct 2024,National quarterly estimate[120],[s]
115,Finland,5636521,,30 Nov 2024,Monthly national estimate[121],[t]
116,Norway,5585044,,30 Sep 2024,National quarterly estimate[122],[u]
117,Lebanon,5490000,,1 Jul 2021,Official estimate[123],
118,Palestine,5483450,,1 Jan 2023,National annual projection[124],[v]
119,Slovakia,5421272,,30 Sep 2024,National quarterly estimate[125],
120,Ireland,5380300,,1 Apr 2024,National estimate[126],
121,New Zealand,5348600,,30 Sep 2024,National quarterly estimate[127],[w]
122,Costa Rica,5309625,,30 Jun 2024,National annual projection[128],
125,Oman,5259612,,30 Nov 2024,Monthly national estimate[129],
124,Liberia,5248621,,10 Nov 2022,2022 census result[130],
125,Mauritania,4927532,,25 Dec 2023,2023 census result[131],
126,Kuwait,4913271,,1 Jan 2024,Official estimate[132],
127,Panama,4064780,,8 Jan 2023,2023 census result[133],
128,Croatia,3859686,,1 Jul 2023,Official estimate[134],
129,Georgia,3694600,,1 Jan 2024,Official estimate[135],[x]
130,Eritrea,3535603,,1 Jul 2024,UN projection[136],
131,Mongolia,3504741,,31 Dec 2023,National annual projection[137],
132,Uruguay,3444263,,27 Nov 2023,2023 National census[138],
133,Bosnia and Herzegovina,3264873,,1 Jul 2023,Official estimate[139][140],
,Puerto Rico (US),3203295,,1 Jul 2024,Annual projection[141],
134,Armenia,3067400,,1 Jan 2024,National quarterly estimate[142],
135,Namibia,3022401,,24 Sep 2023,2023 National census[143],
136,Lithuania,2897443,,1 Dec 2024,Monthly national estimate[144],
137,Qatar,2857822,,30 Jun 2024,Monthly national estimate[145],
138,Jamaica,2825544,,1 Jul 2019,National projection[146],
139,Moldova,2423300,,1 Jan 2024,Official estimate[147],[y]
140,Gambia,2417471,,1 Jul 2022,National projection[148],
141,Botswana,2410338,,1 Jul 2021,National annual projection[149],
142,Gabon,2408586,,1 Jul 2024,National annual projection[150],
143,Albania,2402113,,18 Sep 2023,2023 national census[151],
144,Lesotho,2306000,,1 Jul 2023,Official projection[152],
145,Slovenia,2126324,,1 Jul 2024,National quarterly estimate[153],
146,Latvia,1854900,,1 Nov 2024,Monthly national estimate[154],
147,North Macedonia,1826247,,31 Dec 2023,Official estimate[155],
148,Guinea-Bissau,1781308,,1 Jul 2023,National annual projection[156],
149,Bahrain,1588670,,1 Jul 2024,Official estimate[157],
,Kosovo,1585566,,4 Apr 2024,2024 national census[158],
150,Equatorial Guinea,1558160,,1 Jul 2022,Official estimate[159],
151,Estonia,1374687,,1 Jan 2024,Official estimate[160],
152,East Timor,1373024,,1 Jul 2024,National annual projection[161],
153,Trinidad and Tobago,1368333,,30 Jun 2024,Official estimate[162],
154,Mauritius,1259509,,1 Jul 2024,National estimate[163],
155,Eswatini,1235549,,1 Jul 2024,Official projection[164],
156,Djibouti,1066809,,20 May 2024,2024 census result[165],
157,Cyprus,918100,,1 Oct 2021,2021 census result[166],[z]
158,Fiji,900869,,1 Jan 2025,National annual projection[167],
159,Comoros,900141,,2024,2024 CIA Factbook est.[168],
160,Bhutan,777224,,2024,National annual projection[169],
161,Guyana,772975,,1 Jul 2021,Official estimate[170],
162,Solomon Islands,750325,,1 Jul 2024,National annual projection[171],
,Macau (China),686600,,30 Sep 2024,National quarterly estimate[172],
163,Luxembourg,672050,,1 Jan 2024,Official estimate[173],
164,Montenegro,623633,,31 Oct 2023,2023 census result[174],
165,Suriname,616500,,1 Jul 2021,Official estimate[175],
,Western Sahara,590506,,1 Jul 2024,UN projection[176],[aa]
166,Malta,542051,,31 Dec 2022,Official estimate[179],
167,Maldives,515132,,13 Sep 2022,2022 census result[180],
168,Cape Verde,491233,,16 Jun 2021,2021 census result[181],
,Northern Cyprus,476214,,31 Dec 2023,Official projection[182],[ab]
169,Brunei,450500,,1 Jul 2023,Official estimate[183],
170,Belize,410919,,1 Jul 2024,Official estimate[184],
171,Bahamas,398165,,4 Apr 2022,2022 census result[185],
172,Iceland,388790,,1 Oct 2024,National quarterly estimate[186],
,Transnistria,360938,,31 Dec 2022,Official estimate[187],[ac]
173,Vanuatu,321409,,1 Jul 2024,National annual projection[188],
,French Polynesia (France),279890,,1 Jul 2021,National annual projection[188],
,New Caledonia (France),268510,,1 Jan 2023,National annual projection[189],
174,Barbados,267800,,31 Dec 2022,[190],
,Abkhazia,244236,,1 Jan 2022,Official estimate[191],[ad]
175,São Tomé and Príncipe,228319,,1 Jul 2024,National annual projection[192],
176,Samoa,205557,,6 Nov 2021,Census 2021[193],
177,Saint Lucia,184100,,1 Jul 2023,Official estimate[194],
,Curaçao (Netherlands),155826,,2 Sep 2023,2023 census result[195],
,Guam (US),153836,,1 Apr 2020,2020 census result[196],
178,Seychelles,121355,,30 Jun 2024,Official estimate[197],
179,Kiribati,120740,,1 Jul 2021,National annual projection[188],
180,Grenada,112579,,1 Jul 2019,Official estimate[198],
181,Saint Vincent and the Grenadines,110872,,1 Jul 2022,Official estimate[199],
,Aruba (Netherlands),107566,,31 Dec 2023,Official estimate[200],
182,Micronesia,105754,,1 Jul 2021,National annual projection[188],
183,Antigua and Barbuda,103603,,1 Jan 2024,National annual estimate[201],
,Jersey (UK),103267,,21 Mar 2021,2021 census result[202],
184,Tonga,100179,,1 Jan 2022,National annual estimate[203],
,U.S. Virgin Islands (US),87146,,1 Apr 2020,2020 census result[204],
185,Andorra,86801,,31 Oct 2024,Official estimate[205],
,Cayman Islands (UK),84738,,31 Dec 2023,National annual projection[206],
,Isle of Man (UK),84530,,1 Apr 2023,Official estimate[207],
186,Dominica,67408,,31 Dec 2017,Official estimate[208],
,Guernsey (UK),64781,,31 Dec 2023,National quarterly estimate[209],
,Bermuda (UK),64055,,1 Jul 2021,National annual projection[210],
,Greenland (Denmark),56865,,1 Jul 2023,National quarterly estimate[211],
,South Ossetia,56520,,31 Dec 2021,Official estimate[212],[ae]
,Faroe Islands (Denmark),54648,,1 Nov 2024,Monthly national estimate[213],
187,Saint Kitts and Nevis,51320,,2022,2022 census result[214],
,American Samoa (US),49710,,1 Apr 2020,2020 census result[215],
,Turks and Caicos Islands (UK),49309,,1 Jul 2023,Official estimate[216],
,Northern Mariana Islands (US),47329,,1 Apr 2020,2020 census result[217],
188,Marshall Islands,42418,,30 Sep 2021,2021 Census[218],
,Sint Maarten (Netherlands),41349,,1 Jan 2024,Official estimate[219],
189,Liechtenstein,40015,,31 Dec 2023,National estimate[220],
190,Monaco,38367,,31 Dec 2023,Census[221],
,Gibraltar (UK),34003,,1 Jul 2016,Official figure[222],
191,San Marino,33987,,31 Oct 2024,Monthly national estimate[223],
,Saint Martin (France),32358,,1 Jan 2020,Official estimate[224],
,British Virgin Islands (UK),31538,,1 Jul 2023,UN projection[3],
192,Palau,16733,,1 Jul 2021,2021 Census[225],
,Anguilla (UK),15780,,31 Dec 2022,Official estimate[226],
,Cook Islands,15040,,1 Jul 2021,2021 Census[227],
193,Nauru,11680,,30 Oct 2021,2021 Census[228],
,Wallis and Futuna (France),11620,,24 Jul 2023,2023 census result[229],
194,Tuvalu,10679,,1 Jul 2021,National annual projection[188],
,Saint Barthélemy (France),10585,,1 Jan 2020,Official estimate[224],
,Saint Pierre and Miquelon (France),6092,,1 Jan 2020,Official estimate[224],
,"Saint Helena, Ascension and Tristan da Cunha (UK)",5651,,1 Jul 2021,2021 Census[230][231][232],
,Montserrat (UK),4386,,23 Sep 2023,2023 census result[233],
,Falkland Islands (UK),3662,,10 Oct 2021,2021 census result[234],
,Norfolk Island (Australia),2188,,1 Jan 2021,2021 Census[235],
,Christmas Island (Australia),1692,,1 Jan 2021,2021 Census [236],
,Niue (New Zealand),1681,,11 Nov 2022,2022 Census [237],
,Tokelau (New Zealand),1647,,1 Jan 2019,2019 Census [238],
195,Vatican City,764,,26 Jun 2023,Official figure[239],[af]
,Cocos (Keeling) Islands (Australia),593,,30 Jun 2020,2021 Census[240],
,Pitcairn Islands (UK),35,,1 Jul 2023,Official estimate[241],
